base,variant,wq,cq,score,requests,request_time_seconds,wall_time_seconds,input_tokens,output_tokens,req/pt
Qwen3.8-Flash-Next,medium-sharp,NFP4,FP8,86,2902,10423.5,3261.1,49936801,972203,33.7
Qwen3.8-Flash-Next,medium,AWQW4A16,BF16,84,2306,15964.5,4058.9,31187063,785406,27.5
Qwen3.8-Flash-Next,medium,NFP4,BF16,89,2551,6919.1,3531.3,33590526,817972,28.7
Qwen3.8-Flash-Next,medium,NFP4,FP8,90,2622,8048.6,3809.9,42054840,864900,29.1
Qwen3.8-Flash-Next,nvidia,NFP4,FP8,87,2688,9207.0,4127.1,39370941,880602,30.9
Qwen3.8-Flash-Next,uncensored,NFP4,FP8,75,2484,11365.5,2882.2,49473790,995130,33.1
Qwen3.8-Flash-Next,vllm-pin0-medium,AWQW4A16,BF16,88,2384,14428.0,3688.1,31933972,793262,27.1
Qwen3.8-Flash-Next,vllmspeed-medium,AWQW4A16,BF16,86,2277,10020.9,2797.4,28611696,717090,26.5
Qwen3.8-Flash-Next,vllmspeed-pin128-medium,AWQW4A16,BF16,86,2264,11867.9,3183.7,29478514,717711,26.3
Qwen3.8-Flash-Next,xhigh-run2,AWQW4A16,BF16,97,3670,28510.3,8194.2,89263047,1532054,37.8
Qwen3.8-Flash-Next,xhigh,AWQW4A16,BF16,95,3536,27116.0,12811.8,77652960,1465073,37.2
Qwen3.8-Flash-Next,xhigh,NFP4,FP8,93,3598,17650.7,5987.7,88293286,1629692,38.7
