base,model name,"Total 
Params (B)","Active
Params (B)","n-grams
Params (B)","model 
size (GB)","Weights
Quantization","KV cache
quantization",engine,"Nb
GPU",License,Model ref,Score /100,Duration,Requests,req/pts,in Mtok,out Mtok,"total
TG/s ","parallel
tasks","TG/s per
task","total
cost $","gen tok
/req"
Qwen3.6-27B,ThinkingCap-Qwen3.6-27B,27,27,0,52,BF16,BF16,SGLANG,1,Apache 2.0,ST-ThinkingCap-Qwen3.6-27B_51GB_SGLANG_1GPU_96,69,01:40:17,4657,67,106,"1,3",216,5,43,"0,23",279
Qwen3.6-27B,ThinkingCap-Qwen3.6-27B,27,27,0,52,BF16,FP8,SGLANG,1,Apache 2.0,ST-ThinkingCap-Qwen3.6-27B_51GB_SGLANG_1GPU_96,69,01:19:55,4331,63,86,"1,11",231,5,46,"0,19",256
Qwen3.6-27B,ThinkingCap-Qwen3.6-27B,27,27,0,52,BF16,FP8,SGLANG,2,Apache 2.0,ST-ThinkingCap-Qwen3.6-27B_51GB_SGLANG_2GPU_48,66,01:30:22,4420,67,87,"1,18",218,5,44,"0,21",267
,,,,,,,,,,,,,,,,,,,,,,
Qwen3.8-27B,Qwen3.8-27B-medium,27,27,0,52,BF16,BF16,SGLANG,1,Apache 2.0,ST-Qwen3.8-27B_51GB_SGLANG_1GPU_96,81,01:23:10,2700,33,50,"1,04",208,5,42,"0,19",385
Qwen3.8-27B,Qwen3.8-27B-medium,27,27,0,52,BF16,BF16,vLLM,1,Apache 2.0,ST-Qwen3.8-27B_51GB_vLLM_1GPU_96,77,01:53:24,2671,35,44,"0,97",143,5,29,"0,26",363
Qwen3.8-27B,Qwen3.8-27B-FP8-medium,27,27,0,28,FP8,BF16,SGLANG,1,Apache 2.0,ST-Qwen3.8-27B-FP8_28GB_SGLANG_1GPU_96,78,00:59:37,2853,37,53,"1,09",305,5,61,"0,14",382
Qwen3.8-27B,Qwen3.8-27B-FP8-medium,27,27,0,28,FP8,BF16,vLLM,1,Apache 2.0,ST-Qwen3.8-27B-FP8_28GB_vLLM_1GPU_96,75,01:29:41,2761,37,52,"1,00",186,5,37,"0,21",362
Qwen3.8-27B,Qwen3.8-27B-FP8-medium,27,27,0,28,FP8,FP8,SGLANG,2,Apache 2.0,ST-Qwen3.8-27B-FP8_28GB_SGLANG_2GPU_48,76,01:04:08,2652,35,43,"1,00",260,5,52,"0,15",377
Qwen3.8-27B,Qwen3.8-27B-FP8-medium,27,27,0,28,FP8,FP8,SGLANG,2,Apache 2.0,ST-Qwen3.8-27B-FP8_28GB_SGLANG_2GPU_48,75,01:17:52,2842,38,52,"1,14",244,5,49,"0,18",401
Qwen3.8-27B,Qwen3.8-27B-NVFP4-medium,27,27,0,20,NVFP4,FP8,SGLANG,1,Apache 2.0,ST-Qwen3.8-27B-NVFP4_20GB_SGLANG_1GPU_96,76,00:43:20,2962,39,61,"1,02",392,5,78,"0,10",344
Qwen3.8-27B,Qwen3.8-27B-NVFP4-xhigh,27,27,0,20,NVFP4,FP8,SGLANG,1,Apache 2.0,ST-Qwen3.8-27B-NVFP4_20GB_SGLANG_1GPU_96,76,02:57:34,4787,63,220,"4,03",378,5,76,"0,41",842
Qwen3.8-27B,Qwen3.8-27B-FP8-xhigh,27,27,0,28,FP8,BF16,SGLANG,1,Apache 2.0,ST-Qwen3.8-27B-FP8_28GB_SGLANG_1GPU_96,74,03:34:05,4734,64,197,"3,66",285,5,57,"0,50",773
Qwen3.8-27B,Qwen3.8-27B-FP8-xhigh,27,27,0,28,FP8,FP8,SGLANG,1,Apache 2.0,ST-Qwen3.8-27B-FP8_28GB_SGLANG_1GPU_96,78,03:32:06,4554,58,199,"3,67",288,5,58,"0,49",806
Qwen3.8-27B,Qwen3.8-27B-xhigh,27,27,0,52,BF16,FP8,vLLM,1,Apache 2.0,ST-Qwen3.8-27B_51GB_vLLM_1GPU_96,75,06:17:06,4738,63,201,"3,91",173,5,35,"0,88",825
Qwen3.8-27B,Qwen3.8-27B-xhigh,27,27,0,52,BF16,BF16,SGLANG,1,Apache 2.0,ST-Qwen3.8-27B_51GB_SGLANG_1GPU_96,81,10:13:13,4610,57,196,"3,67",100,5,20,"1,43",796
Qwen3.8-27B,Qwen3.8-27B-NVFP4-medium,27,27,0,20,NVFP4,INT8,NINFER,1,Apache 2.0,NINFER-Qwen3.8-27B-nvfp4_20GB_1GPU_96,81,02:14:08,4178,52,144,"3,08",383,5,77,"0,31",737
Qwen3.8-27B,Huihui-Qwen3.8-27B-abliterated-FP8,27,27,0,28,FP8,FP8,SGLANG,2,Apache 2.0,ST-Huihui-Qwen3.8-27B-abliterated-FP8_28GB_SGLANG_2GPU_48,80,01:33:01,3134,39,70,"1,24",222,5,44,"0,22",396
Qwen3.8-27B,Qwen3.8-27B-heretic-ara-INT8-W8A16-MTP,27,27,0,29,INT8-W8A16,FP8,SGLANG,2,Apache 2.0,ST-Qwen3.8-27B-heretic-ara-INT8-W8A16-MTP_29GB_SGLANG_2GPU_48,80,02:00:57,3018,38,81,"1,59",219,5,44,"0,28",527
,,,,,,,,,,,,,,,,,,,,,,
Muse-Glimmer-30B,Muse-Glimmer-30B,30,30,0,55,BF16,BF16,SGLANG,1,Apache 2.0,ST-Muse-Glimmer-30B_55GB_SGLANG_1GPU_96,74,01:53:30,8526,115,253,"1,96",288,5,58,"0,26",230
Muse-Glimmer-30B,Muse-Glimmer-30B,30,30,0,55,BF16,BF16,SGLANG,1,Apache 2.0,ST-Muse-Glimmer-30B_55GB_SGLANG_1GPU_96,73,02:04:30,8939,122,283,"2,02",270,5,54,"0,29",226
Muse-Glimmer-30B,Muse-Glimmer-30B,30,30,0,55,BF16,BF16,SGLANG,1,Apache 2.0,ST-Muse-Glimmer-30B_55GB_SGLANG_1GPU_96,74,01:48:16,8826,119,261,"2,00",308,5,62,"0,25",227
Muse-Glimmer-30B,Muse-Glimmer-30B-heretic,30,30,0,55,BF16,BF16,SGLANG,1,Apache 2.0,ST-Muse-Glimmer-30B-heretic_55GB_SGLANG_1GPU_96,75,01:45:13,9502,127,303,"1,97",312,5,62,"0,25",207
Muse-Glimmer-30B,Muse-Glimmer-30B-heretic,30,30,0,55,BF16,BF16,SGLANG,1,Apache 2.0,ST-Muse-Glimmer-30B-heretic_55GB_SGLANG_1GPU_96,74,01:41:55,9249,125,289,"1,89",309,5,62,"0,24",204
,,,,,,,,,,,,,,,,,,,,,,
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,58,BF16,BF16,vLLM,1,Apache 2.0,ST-gemma-4-31B-it_58GB_vLLM_1GPU_96,69,01:19:30,3424,50,51,"0,90",189,5,38,"0,19",263
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,58,BF16,FP8,vLLM,1,Apache 2.0,ST-gemma-4-31B-it_58GB_vLLM_1GPU_96,69,01:24:55,3545,51,61,"1,06",208,5,42,"0,20",299
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,31,FP8,BF16,vLLM,1,Apache 2.0,ST-gemma-4-31B-it-FP8-dynamic_31GB_vLLM_1GPU_96,71,00:58:24,3546,50,56,"0,95",271,5,54,"0,14",268
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,31,FP8,FP8,vLLM,1,Apache 2.0,ST-gemma-4-31B-it-FP8-dynamic_31GB_vLLM_1GPU_96,71,00:56:33,3815,54,67,"1,03",304,5,61,"0,13",270
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,31,FP8,FP8,vLLM,1,Apache 2.0,ST-gemma-4-31B-it-FP8-dynamic_31GB_vLLM_1GPU_96,71,01:01:16,3823,54,66,"1,02",277,5,55,"0,14",267
